0,1,2,3,4,5,6,7,8,9,10
Careerist,Ivan Tsybaev,"Inspired entrepreneur who founded:
Careerist (2019)
Trucker Path (2013), America's one of the most popular mobile apps for truckers",Max Glubochansky,,Max Gusakov,,,,,
Mecho Autotech Ltd,Ayoola Akinkunmi,"I am Ayoola Akinkunmi, an automobile engineer for close to 10 years 
Studied automobile engineering 
Bsc at Federal University of Technology Akure
Nabteb certified at Government Technical college Ikotun
Federal craft certificate 
Trade Test 1,2,3",Olusegun Owoade,"I’m Olusegun Owoade, a brief about my work experience and education,

• 10+ years’ experience in Actuarial and Risk consulting across top tier consulting firms.

• Former Chief Risk Officer (CRO) at Kobo360 Inc

• Former Risk Advisory services Manager at Ernst & Young

• Former Senior Actuarial Consultant at HR Nigeria Ltd

• PGD Actuarial Science, University of Leicester, UK

• B.Tech Statistics, LAUTECH, Nigeria",,,,,,
Odiggo,Ahmed Nasser,Ahmed Omar,,,,,,,,
Beau,Mila Dayan,"Co-founder at Beau
Cannes Lions Advertising Award winner",Kyril Kulikov,Co-founder at Beau,Kirill Zakharov,"Former backend developer and team lead at fast growing russian companies and startups, product oriented and focused on delivering business results as fast as possible",,,,
Toku,Cristina Etcheberry,"* Product Manager, self-taught developer and dog lover.
* +3 years of experience working at Latam biggest Airline and Product Owner from idea to conception of Brasil Alexa's Skill.
* Pontificia Universidad Católica de Chile, BS in Business and Economics. Graduated on top ten of promotion.",Francisca Noguera,"CEO & Co - Founder of Toku. I worked for three years in the Chilean financial market in Falabella.
Outgoing, I love to talk with people and I like to sing 🎤",Enzo Tamburini,"Chilean 🇨🇱, developer and Co-Founder of Toku. Python and dog lover. Not pretty sure what i have to put here but probably I'll update it later.",,,,
Safer Management,Fredrick Burns,"I am a Mississippi native with a passion for technology. Prior to founding Safer Management, I worked as a Software Engineer for multiple companies. I have a special place in my heart for iOS development and simplistic user interface designs. When my face is not glued to the computer screen I am spending time with my twin boys who are the reason I started Safer Management initially.",,,,,,,,
Chipax,Joaquín Brenner,"Co-Founder and COO at Chipax - Helping SMEs manage their finances.

Universidad Adolfo Ibáñez of BBA, MSc in Innovation and Design",Antonio Correa,"Toni started his career as a firefighter, then moved to renewable energy and finally to technology. Before Chipax, he led a company that was going bankrupt and faced all the pain points SMBs have to deal every day in order to maintain the business healthy; that's why Chipax was born, to make their day to day finances dramatically simpler.
He is an Industrial Engineer with a MSc in Innovation and Entrepreneurship from ESADE, Barcelona",Felipe Urzúa,"Felipe is the co-founder and Chief Revenue Officer of Chipax. An entrepreneur from early age, he is really passionate about business development and strategy. Prior to Chipax, he lead the expansion of a Proptech startup across Latam. Originally from Curico, Chile. Felipe graduated from Universidad Adolfo Ibáñez of BBA with a masters on Innovation for startups.",François de Mussy,"CoFounder, CTO www.chipax.com

Helping SMEs manage their finances.

Pontificia Universidad Católica de Chile, BS in IT Engineering, 2011",,
Amenli,Shady El Tohfa,"Shady is Co-founder of Amenli, an insurtech startup in Egypt. Prior to Amenli, he was part of the founding team and CCO of Paymob since 2015 and helped the company reach tens of thousands of merchants, processing millions of transactions and with operations across 5 markets. 

He also co-founded the Business Association at AUC. He was Entrepreneur-in-Residence at Skydeck, the startup accelerator of UC Berkeley in the US. Shady holds a B.A. in Business Administration from AUC.",Adham Nauman,,,,,,,
Pide Directo,Hussein Fawzi,Co-founder/CEO @PideDirecto,Antonio Nacoud,COO & Co-founder at Pide Directo,Ronni Samir Sulaka,Founder of Pidedirecto.mx - A SaaS platform that enables local merchants to get online in 30 seconds and deliver products in less than 30 minutes.,Anders Steiner,Worked with tech for 15 years. Founder and CTO of Pide Directo.,,
Nash,Aziz Alghunaim,"Co-founder at Nash. Prior to Nash, I spent a couple of years building Tarjimly (YC W18), a mobile application to connect refugees with real, volunteer translators all over the world. Before that, I was a software engineer at Palantir working on a number of high-volume data problems. I received my Bachelors and Masters in Computer Science in 2015 from MIT.

I love mission-driven work that is coupled with great technical execution. I am in the Bay Area, and love meeting new people, so say hello :)",Mahmoud Ghulman,"Co-founder at Nash. Prior to Nash, I founded a gig-worker parking logistics company (acquired) and lead Business Development at Mozn, the leading data science company in the Middle-East. At Mozn we developed AI solutions in AML, stock-market fraud, and credit scores in finance & insurance. I received my Bachelors in Physics from MIT.

I love spending time with family at the beach, scuba-diving with Aziz, and playing tennis.",,,,,,
Payflow,Benoit Menardo,"Co-founder at Payflow 🚀 ex-Bain, ex-Rocket Internet 🎓 INSEAD MBA, MIT, Mines Paristech 🌎 Lived in 5 continents and learned 8 languages",Avinash Sukhwani,"Co-founder at Payflow 📱ex-BCG and ex-Rocket Internet 👨‍💻University of Cambridge, MIT and Imperial College London 👨‍🎓 Madrid-based 🇪🇸 I like startups! 🚀",,,,,,
Ahazou,Rui Miadaira,"Founder @ahazou @cbeauty @olimpiaspa @psorriso.
Former business executive @c&a @itau-unibanco and strategy consultant @booz&co.
Harvard MBA and BSc Computer Science.",,,,,,,,
Titipku,Ong Tek Tjan,"I was born in Padang Indonesia year 1969. I have working experience mostly in banking sector for more than 26 years such BCA, Bank Danamon, Bank Sahabat Sampoerna. Handled SME and Commercial segments, managed branches, sales teams, strategic planning, product developments, for example financial supply chain system, credit origination system, digital saving, cross selling among subsidiaries.",Henri Suhardja,,,,,,,
HEO Robotics,Will Crowe,"Will has a PhD in Aerospace Engineering, with a focus on the astrodynamics of spacecraft swarms with relation to asteroids. He has won international awards for his work, including the Space Generation Advisory Council's ""Move an Asteroid"" award in 2015. As CEO of HEO Robotics, Will's highlights include taking the world's second commercial in-orbit inspection photo of a spacecraft. Will loves spending time with family and reading.",Hiranya Jayakody,Co-founder and CTO - HEO Robotics,,,,,,
Turion Space,Tyler James Pierce,"Aerospace engineer and executive MBA candidate with over a decade of experience in the aerospace and defense sector. Specialize in analysis-driven design, multi-disciplinary optimization, and data processing. Hands-on experience with qualification and testing including vacuum thermal testing of multi-billionaire dollar programs. Experienced with high-precision robotic manipulators and assembly automation.",Ryan Westerdahl,"Engineer working in aerospace over the last decade, coming most recently from 8.5 years at SpaceX. Automating data pipelines, performance simulations, vibration environments and testing, anomaly resolution, hardware design.",Patryk Wiatr,"Full stack software engineer with almost 10 years of experience building and maintaining scalable web applications. Patryk has built applications from the ground up, including requirement gathering, testing, and deploying, as well as designing and implementing back end infrastructure solutions to power those applications.",,,,
Stepful,Tressia Hobeika,"Tressia led product teams at Udacity and Triplebyte, where she built online learning experiences that helped reskill and place 200k+ job seekers in tech jobs. She leads product at Stepful.",Carl Madi,"Carl worked at both Uber and Handy acquiring 100,000+ workers to take on new jobs. He is also a seasoned operator managing a $75M at Handy. He leads user acquisition and employer partnerships at Stepful.",Edoardo Serra,"Serial founder, Edoardo took a long break from startups to join Apple where he worked on Siri helping growing the International team from a startup-like size to a large.org. Edoardo is back in the startup world where he joined Carl and Tressia to reinvent vocational education.",,,,
Synder,Michael Astreiko,"Starting in the eCommerce domain, during the last 7 years moved to the FinTech sphere and with the main focus on online sales, accounting & bookkeeping, and business automation delivering various solutions that are successfully serving thousands of businesses around the globe.

Loving husband and father of 3 children with a lot of attention paid to fathers’ duties and family activities. Love sports and tennis&squash in particular.",Ilya Kisel,"Ilya has the background in the e-commerce sales (has been occupied in the e-commerce sphere for 7+ years). The main responsibility in Synder includes partnership development, marketing&sales strategy defining, and the connection of daily operations of the company into one aligned mechanism. If you have any ideas on potential collaboration, Ilya is the best person to drop a message (in LinkedIn or email) and start a good, productive conversation.",,,,,,
Café,Arthur Lorotte de Banes,"DevOps, then Cloud Solutions Architect now turned entrepreneur with my little brother",Tom Nguyen,"Building the future of Hybrid work with my brother.
Previous founder of ASKIP (mobile consumer apps for teens)",,,,,,
OneShop,Albert Chuang,Co-Founder/CEO at OneShop,Aaron Evans,"Co-Founder/CTO @ OneShop, YC S21",,,,,,
FirstIgnite,Chase Bonhag,Former VC investor in university research (Illinois Ventures) and corporate innovation (TechNexus). Very focused on making it easy for the scientific community to connect.,Cody Pawlowski,Tech generalist dedicated to helping life-changing technologies get to market.,,,,,,
LabSimply,Anurup Ganguli,"Anurup Ganguli, PhD is a Scientist and biomedical engineer with deep expertise in developing medical devices and translational clinical diagnostic platforms. He has over 20 publications and over 9 patents filed with many of his platforms featuring in journals like Nature communications, Science Advances, PNAS, and Advanced Functional materials.",,,,,,,,
Talentdrop,Madeleine Nguyen,"From SF, played golf for and studied Classics at Georgetown in DC, went to Wash U (St. Louis) for law school - hey, it was a recession - became interested in employment law which led to networking with HR and Recruiting people. Because it was SF, they were at tech startups. Caught the bug and jumped careers. Started at a firm (Riviera) then went in house to Instacart, Snapchat, and Uber. Left to push recruiting to evolve (Talentdrop).",Janelle Tiulentino,"Hi everyone! Really excited to be here, and to meet you! Maddy and I were colleagues at Snap before joining up to work on Talentdrop. 
I'm a California native and have never lived elsewhere, though I would love to at some point. I tend to binge eat popcorn, I laugh a little too loudly, and am a helicopter mom to my cat.",,,,,,
Stack,Yashwardhan Pauranik,"CPO, Stack Finance",Smriti Tomar,"As founder and CEO at Stack Finance, Smriti strives to make financial planning accessible and affordable for India's 440 million millennials (who contribute to 70% of the household income) to achieve financial security and freedom. 
Prior to this venture, she has worked as a data analyst at EXL services, focused in overseas finance and banking industry, particularly Citibank, Latin America.",Vidit Varshney,"Leading strategy, alliances and operations at Stack Finance. Previously management consultant, enjoys exploring innovation and motorcycling.",Tushar Vyas,,,
GamerPay,Rasmus Andersen,CTO at GamerPay. Has been working with marketplaces for the last 7 years. Build one of the most popular danish secondhand fashion marketplaces.,Morten Byskov,"Co-founder @ GamerPay and Product Lead. 
I love winning, especially peoples hearts. I'm double black belt in Karate, I never quit and I'm always on the lookout for that next challenge. My career consist of 5 years as a broker @ Maersk, 2 years as a PO @ SumUp along with a few startup failures. I'm also graduate of YC's first online Startup School (2017). Winner of Net’s Fintech Challenge, and winner of Startup Weekend. 

All this has lead to you reading these lines.",Peter Haldbæk,"Co-founder at GamerPay.

More than 20 years of development experience ranging from traditional web applications, backend development, fat desktop clients and native mobile apps in both corporate and startup settings.

Industry experience ranges from banking, shipping and the public sector to marketplaces in the startup space along with consulting jobs as a contractor.",Mathias Hermansen,Co-founder & CEO of GamerPay. Been working on marketplaces since 2013 covering various business & Product mgmt roles. Held roles as COO and most recently as CPO building Denmarks largest transactional marketplace going from 0 til 35 mio USD GMV.,Martin Lykke Suhr,"Generalist, coder, head of growth, paid marketing - Co-founder of GamerPay, ex. ultrarunner, farther of two.

Previously co-founded Denmarks largest transactional marketplace Trendsales. Grew it from 0 to 1 mio. users and a GMV north of 35mill dollars."
Sitenna,Daniel Campion,"I've worked in the telecoms industry for over 12 years specialising in strategy, M&A, spectrum auctions and network sharing. Working for Orange Group, Aetha Consulting and KPMG, I have helped clients in over 30 countries supporting over £70bn in transactions. I've also founded businesses in the consulting and esports, and was a board member of a software business that was acquired in 2021.",Brian Sexton,"I have over 15 years experience as a technical consultant with BAE systems,
Ericsson and Norkom. I specialize in the development of technology platform
and machine learning algorithms, implementing complex systems for private and
public clients around the world. Recently I have led the engineering teams for a
number of start-ups",,,,,,
Luminate Medical,Aaron Hannon,"Co-Founder and CEO of Luminate Medical. Software and electronic engineer with a passion for medical devices and a better citizen experience of medicine. Thiel Fellowship, Class of 2020.",Barbara Oliveira,"Co-Founder and Clinical Lead of Luminate Medical, a start up medical device company based in Galway, Ireland working on empowering patients during their cancer & chemotherapy journey. Biomedical Engineer by background, with experience in leading first-in-human medical device clinical trials, and a passion for quality of life applications of medicine!",,,,,,
Pactima,Joel Kapongo,"Co-founder & CTO of Pactima. Focused on tech and moving the business forward. Son of Congo, adopted by Canada.",Moktar Yusuf,Co-founder & CEO of Pactima.,,,,,,
Adra,Yasaman Nematbakhsh,"I am a scientist turned entrepreneur and CPO of Adra. I co-founded a biotech edtech startup prior to Adra where we sold biotech educational kits to 5 countries and won top 5 global education startup award. I have a PhD in biomedical engineering from the National University of Singapore (NUS), where I studied the mechanical properties of breast cancer cells. I also hold a Bachelor of Science in Mechanical Engineering and a Master of Science in Bioengineering from Georgia Institute of Technology.",hamed fesharaki,"Hamed, the CEO of Adra, has been a dentist & clinic owner for the past decade. He founded the first open concept dental clinics in Singapore where the patients could clearly see all sterilization and lab work procedures. Hamed co-founded Adra after he saw a need in a tool that gives confidence to the dentists and increases patients' trust to minimize the revenue loss of the dental clinics. He obtained his bachelor of dental science with highest honors from Trinity College Dublin.",Liushifeng Chen,,,,,
BlackOakTV,Uzo Ometu,"Uzo is a lover of all things media and hopes to bring more underrepresented voices into the content the world sees by leveraging his experience in journalism, entertainment, and technology. Currently, he's doing just that through his new venture, BlackOakTV, which is a subscription video service superserving black audiences.",Iyanu Obidele,,,,,,,
StandardCode,Daniel Hung,"Bay Area native. MIT graduate. Started career as a trader at an investment bank, then hedge fund. Made the switch to tech as engineer #2 at Homejoy. Later ran the product team at Kite.",Arjun Naskar,"Co-founder at StandardCode (S21); Head of B2B Marketing at Remind (IK12), Employee #2 at Homejoy (S10).",,,,,,
"SFA Therapeutics, Inc.",Alla Arzumanyan,"MS is Microbiology,
PhD in Biotechnology,
Assistant Professor at Temple University,
Co-Founder and Co-Inventor at SFA Therapeutics, Inc.
Performed a case-control, Proof-of-Activity Human study to evaluate treatment effect of SFA002 drug (proprietary of SFA Therapeutics, Inc.) on patients with plaque psoriasis.
Worked with Axella Research on pre-IND application for SFA002.
Worked with HEC (Sunshine Lake Pharma Co., China), Theravectys, and ThirdLaw LLC (still collaborating with the latter)",Mark Feitelson,"Mark Feitelson received his Ph.D. in Microbiology/Immunology from UCLA. He began his work with hepatitis B at Stanford University, and was then recruited to the Fox Chase Cancer Center by Dr. Baruch Blumberg (Nobel laureate). In 1991, Dr. Feitelson moved to Thomas Jefferson University, and in 2007, to Temple University as a Professor of Biology. His work has been supported by NIH, industry and foundations. He has more than 150 publications and 180 abstracts. He is also CSO of SFA Therapeutics.",Ira Spector,"Dr. Spector is the co-founder of SFA, a microbiome-derived pharmaceutical company focused on new advancements in the treatment inflammatory diseases. An experienced drug developer with over 30 years of experience, he helped develop 34 drugs and 12 medical devices, including Enbrel, Effexor, Protonix, Prevenar, Ozurdex, Botox for Overactive Bladder, Chronic Migraine and Cerebral Palsy. He holds BS degrees in Physics and EE from Washington University, an MBA from Drexel, and a PhD from Rutgers.",,,,
Codex,Karl Clement,"""Fullstack"" kind of guy. Obsessed with startups, software and engineering, I mostly like to build stuff. As an engineer my focus is primarily on modern micro-service architectures, Javascript SPAs, REST/GraphQL APIs, high-traffic applications as well as DevOps (the whole stack). As an entrepreneur, I started building companies when I was 14 and never looked back.",Saumil Patel,"I am the co-founder and CTO of Codex, a developer collaboration tool. Codex allows you to request context on specific lines of code directly from your IDE.

Previously as the co-founder and Partner at Dignified, I worked closely with clients ranging from startups to Fortune 250 companies helping them bring their ideas from concept to completion.

I have also contributed to numerous other projects as a Virtual CTO, Software Architect, Product Lead, Scrum Master, and Software Engineer.",Brandon Waselnuk,"Co-founder of Codex (http://usecodex.com) & Co-Founded 
Dignified a product Agency & Studio. Previously VP of Product at CoVenture VC and Ex-IBMer in Business Analytics doing design evangelism, teaching design thinking, and managing the product process for Business Analytics products.

I love charitable work and spend my efforts on the challenges of youth homelessness, food banks, and mental health where I can.",,,,
Spot,Raffaele Colella,"2x founder
Google News App lead PM
First startup was a 4.5 years long ride, 2 apps, 1 Apple Best New App and multiple feature, Acqui-hired by Google
MIT Sloan MBA
From Naples ❤️(Italy)",Ulysse Mizrahi,"Co-founder & CTO @ Spot

-----
Previously :
Senior Engineer & Product @ Upflow (YC S2020)
CTO @ Fitle
R&D Engineer @ Dataiku
Head of Data Science @ Nextperf (now Rakuten Marketing Europe)

Education: Masters in Mathematics & Theoretical Physics from University of Cambridge & Ecole polytechnique",,,,,,
Crew,Mohamed Labouardy,"CTO & Co-Founder @Crew.work
Besides building a spaceship to reach the moon at @Crew.work. I have founded Komiser.io, a cloud cost optimization platform and written a couple of books about distributed applications and DevOps practices.",Amine Skalli,"Founder @Crew. 
Prior to Crew I founded 2 other companies in the recruiting field, and was a professional recruiter for 4 years. I mainly recruited software engineers. 
Should you have any question about all things recruiting, feel free to reach out !",,,,,,
Therify,James Murray,"James is co-founder and CEO of Therify. He previously led partnerships with digital news organizations at Facebook and Instagram. Prior to Facebook, he worked on the enterprise sales team at InVision, a venture-backed product design platform.",Warren Sadler,"My background is unique as a technical founder as I started my career as a musician and designer. I've worked for large healthcare companies like HCA, consumer companies like Asurion, and working as a consultant with McKinsey. 

My passion is helping individuals find the therapy they need. Having seen what meaningful conversation, self exploration, and self improvement can do to transform lives firsthand, I am deeply committed to make a more resilient, thoughtful, and connected world.",,,,,,
Plai,Logan Welbaum,"I left my job at Facebook to make digital marketing easy for anyone. 

https://www.tiktok.com/@plai.io",,,,,,,,
Abatable,Maria Filmanovic,"Prior to founding Abatable, Maria worked as a Vice President at Goldman Sachs and advised large corporates and institutional investors on nature-based carbon removal and impact investment portfolios, most recently focused on work around carbon offsetting procurement",Valerio Magliulo,"Previously Product @ Facebook, Google, Monzo and Uber. Based in London, UK",,,,,,
ContraForce,Stan Golubchik,"Stan Golubchik is CEO and Co-Founder of ContraForce. He has been in the IT and Cybersecurity space for 15 years. Bringing extensive experience in executive roles at McAfee, and Armor Cloud Security. Stan started his career working in a NOC and found his footing in cybersecurity when joining Intel Security. He possess several certifications and is passionate of building future innovation and leaders within the space.",Ricky Melendez,"Ricky Melendez is CTO and Co-Founder of ContraForce. He has been in the IT and Cybersecurity space for 10 years. He brings extensive experience in building Security Operation Centers from the ground up in McAfee, and leading security teams in Armor Cloud. Ricky graduated from UT Austin with a focus on computation mathematics and computer science.",,,,,,
Storylane,Akash Bansal,"Founded Kinderlime, the largest preschool SaaS platform, ran it for 7 years and then sold it in 2019 to Warburg Pincus. Product and Pre-sales at Rambus (high speed signalling), worked at multiple networking hardware startups. Obsesses over customers, mission driven teams and product.",Nalin Senthamil,"Nalin is technologist and product driven entrepreneur. Earlier, he co-founded Kinderlime (acquired by Warburg), an early education platform for schools. Prior to that he was founding engineer/CTO at DAQRI building hardware/software stack for AR wearables for industrial applications.",,,,,,
Byte Kitchen Limited,Divyang Arora,"Divyang is the CEO of Byte Kitchen which he co-founded with Quinn and Rahul. LinkedIn summary below...

ex investment banker @ evercore, management consultant @ booz and co., early employee + led fundraising @ central square foundation - a venture philanthropy organization

mba @ harvard, systems engineering @ upenn",Rahul Madadi,"Rahul is the CTO of Byte Kitchen. He has experience building and shipping products through his previous roles at technology companies, operations and real estate experience through his startup. He has done his bachelors from IIT Kharagpur and MBA from IIM Lucknow.",Quinn McKenna,"I'm a restauranteur, interested in the intersection of tech and the restaurant business. I advised OpenTable, Proven, CTUIT, Rezku and a few others in the space in various capacities. LinkedIn has the gory details...",,,,
